cluster	gene
Ductal cell CEACAM6	ATF3
Ductal cell CEACAM6	S100A14
Ductal cell CEACAM6	C15orf48
Ductal cell CEACAM6	ACTB
Ductal cell CEACAM6	SOX4
Ductal cell CEACAM6	PIGR
Ductal cell CEACAM6	TFF2
Ductal cell CEACAM6	MMP1
Ductal cell CEACAM6	PI3
Ductal cell CEACAM6	MUC1
Ductal cell CEACAM6	CD9
Ductal cell CEACAM6	KRT17
Ductal cell CEACAM6	CSTB
Ductal cell CEACAM6	EREG
Ductal cell CEACAM6	HMGCS1
Ductal cell CEACAM6	MACROD2
Ductal cell CEACAM6	WFDC2
Ductal cell CEACAM6	CLDN18
Ductal cell CEACAM6	CXCL1
Ductal cell CEACAM6	S100A4
Ductal cell CEACAM6	CXCL8
Ductal cell CEACAM6	OLFM4
Ductal cell MALAT1	MALAT1
Ductal cell MALAT1	Z93241.1
Ductal cell MALAT1	PPP1R10
Ductal cell MALAT1	AL355075.4
Ductal cell MALAT1	NEAT1
Ductal cell MALAT1	HEXIM1
Ductal cell MALAT1	CSKMT
Ductal cell MALAT1	KCNQ1OT1
Ductal cell MALAT1	SRGN
Ductal cell MALAT1	ENSG00000285437
Ductal cell MALAT1	RSRP1
Ductal cell MALAT1	HNRNPH1
Ductal cell MALAT1	CCNL2
Ductal cell MALAT1	GOLGA8B
Ductal cell MALAT1	INTS6
Ductal cell MALAT1	ARGLU1
Ductal cell MALAT1	TLE4
Ductal cell MALAT1	AC007952.4
Ductal cell MALAT1	HIST1H4E
Ductal cell MALAT1	CCNL1
Ductal cell MALAT1	AC023157.3
Ductal cell MALAT1	AC091271.1
Ductal cell MALAT1	ANKRD36C
Ductal cell MALAT1	FUS
Ductal cell MALAT1	MCL1
Ductal cell MALAT1	GOLGA8A
Ductal cell MALAT1	HSPA2
Ductal cell MALAT1	N4BP2L2
Ductal cell MALAT1	AL021453.1
Ductal cell MALAT1	SLC38A2
Ductal cell MALAT1	TSPYL2
Ductal cell MALAT1	NKTR
Ductal cell MALAT1	IER5
Ductal cell MALAT1	PPP1R15A
Ductal cell MALAT1	LUC7L3
Ductal cell MALAT1	AL118516.1
